Discount,Description,Promocode,Site,Title,Tags,,,,,,
500,Pay with Mobikwik wallet at MakeMy  Trip and get Rs 500 cashback on minimum billing value Rs 2500. Once/user.,KWIKTRIP, Mobikwik ,Get Flat 500 off min transaction of Rs 2500 +AEA-MakeMyTrip,All Users,Light Bill,Airtel and Others,Offer,Deal,,
200,Do recharge / Bill pay  / DTH / utility bill payment with mobikwik +ACY- get a chance to win 200+ACU- cashback. Max cashback is Rs 200. Lucky 4000 winner will get this chance.,FLASH, Mobikwik ,Do recharge / Bill pay +ACY- get a chance to win 200+ACU- cashback,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
100,Do recharge / Bill Payment / DTH / Utility payment at Mobikwik with given code and get a chance to win 100+ACU- cashback. Max cashback Rs 100,LUCKY100, Mobikwik ,Do recharges +ACY- get a chance to win 100+ACU- cashback,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
100,Pay your electricity bill payment with paytm and get a chance to win an Air Conditioner. 100 lucky winners will be awarded 100+ACU- Cashback. Max cashback Rs 1000.,PAY2WIN, Paytm ,Win an Air conditioner by paying the Electricity bill,All Users,Light Bill,Light Bill,Airtel and Others,Offer,,
100,Get Rs 100 cashback on minimum landline bill payment of Rs 600. Valid for new user only.,NEWLINE, Paytm ,Get 100 cashback on minimum landline bill payment of Rs 600,New User,Light Bill,Airtel and Others,Offer,,,
100,Get Rs 100 cashback on  first time Broadband Bill payment of Rs 600. Valid for new user only.,BROADBAND, Paytm ,Get 100 cashback on minimum broadband bill payment of Rs 600,New User,Light Bill,Airtel and Others,Offer,,,
75,New User Get Rs 75 off on Electricity bill payment of Rs 500 or more. Valid once per user,PAYBILL, Paytm ,New User : Get Rs 75 off on Electricity bill payment,New User,Light Bill,Light Bill,Airtel and Others,Offer,,
50,Get 50 cashback on recharge of 50 or more. Credit / Debit card /Netbanking.or FreeCharge Balance Balance. 2 times /user. Account specific offer.,FI50, Freecharge ,Get 50 Cashback on min Recharge of Rs.50,All Users,Recharge,Airtel and Others,Offer,,,
50,+ACI-Get up to Rs.50 cashback +AEA-6+ACU- on Prepaid Recharges, Postpaid Bill Payments. 2 times per user. Using CC/DC.+ACI-,6FC, Freecharge ,6+ACU- Cashback on Rs.50 or more Transactions,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
50,Get Rs 50 cashback on Postpaid bill payment of Rs 400 or more. Valid once per user and using Debit/Credit card only,50POST, Freecharge ,New User Get 50 cashback on min Postpaid bill payment of 400,New User,Light Bill,Airtel and Others,Offer,,,
50,New user : Get Rs 50 Cashback on Rs.400 or more DTH recharge pay with this promo code. one times/user.,FIRSTDTH, Freecharge ,New user: Get 50 Cashback on Rs.400 DTH Recharge,New User,DTH Recharge,Recharge,Airtel and Others,Offer,,
30,Get Rs 30 Cashback on minimum mobile postpaid bill payment of Rs 500. Valid for once per user.,POST30, Paytm ,Get 30 Cashback on Mobile Postpaid Bill Payment.,All Users,Light Bill,Airtel and Others,Offer,,,
30,Pay the landline bill payment +ACY- get Rs 30 cashback. Minimum Bill amount should be 500 or more. Once/ User,LAND30, Paytm ,Pay the landline bill payment +ACY- get Rs 30 cashback,All Users,Light Bill,Airtel and Others,Offer,,,
30,Get Rs 30 Cashback on Mtnl Recharges  of Rs 400 and above. Code can be used 5 time / user. Offer valid for Sunday's only,MTNL400, Paytm ,30+ACo-5 CB on Mtnl Recharges of 400 +AFs-Sunday+AF0-,All Users,Recharge,Airtel and Others,Offer,,,
30,Do the datacard recharge  and get Rs 30 cashback. Minimum recharge amount should be 500 or more. Once/ User,DCARD30, Paytm ,Do the datacard recharge of Rs 500 and get 30 cashback,All Users,Recharge,Airtel and Others,Offer,,,
25,Get up to Rs.25 cashback on Prepaid Recharge/ Bill Payments. 2 times / user. Using CC/DC. Now you can Use Freecharge wallet also.,10FC, Freecharge ,10+ACU- Cashback on Rs.50 or more Transaction,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
25,Get 25 cashback on recharge of 50 or more. Credit / Debit card /Netbanking.or FreeCharge Balance Balance. Once /user,C25, Freecharge ,Get 25 Cashback on min Recharge of Rs.50,All Users,Recharge,Airtel and Others,Offer,,,
25,Get 25+ACU- Cashback on Recharges / Bill Payments of Rs.50 or more (New user) . Max cashback Rs 50 Using Debit / Credit card only.,NEW25, Freecharge ,Get 25+ACU- Cashback on Recharge of Rs.50 or more (New user),New User,Light Bill,Recharge,Airtel and Others,Offer,Offer,
20,+ACI-Get 20+ACU- Cashback on Electricity, Gas +ACY- Landline bill payment on minimum transaction amount of Rs 400. Max cashback 100. Use Debit, Credit card, Net banking and FreeCharge Balance Balance.+ACI-,FCBILL, Freecharge ,+ACI-Get 20+ACU- Cashback on Electricity, Gas +ACY- Landline bill payment+ACI-,All Users,Light Bill,Light Bill,Airtel and Others,Offer,,
20,New user : Get 20+ACU- Cashback on Rs.200 or more Electricity Bill Payments when you pay with this promo code. one times/user. Max cashback Rs 100,FIRSTBILL, Freecharge ,New user: Get 20+ACU- Cashback on Rs.200 Electricity Bill Pay,New User,Light Bill,Light Bill,Airtel and Others,Offer,,
20,New user : Get 20+ACU- Cashback on Rs.200 or more first Gas Bill Payments when you pay with this promo code. one times/user. Max cashback Rs 100,GAS100, Freecharge ,New user: 20+ACU- Cashback on Rs.200 first Gas bill Payment,New User,Light Bill,Airtel and Others,Offer,,,
20,Get 20+ACU- cashback on Postpaid bill payment of Rs 400 or more. Max cashback Rs 100. Valid once per user and using Debit/Credit card only.,POST20, Freecharge ,New User Get 20+ACU- cashback on min Postpaid bill pay of 400,New User,Light Bill,Airtel and Others,Offer,,,
20,New users get 20+ACU- cashback on minimum DTH Recharge of Rs 300. Max cashback Rs 100. Using Debit / Credit card. Valid once per user,D2H25, Freecharge ,Get 20+ACU- Cashback on min DTH Recharge Rs.300 (New user),New User,DTH Recharge,Recharge,Airtel and Others,Offer,,
10,+ACI-Recharge, pay Postpaid Mobile Bill Payment, DTH, Data Cards, Utility Bill Payments +ACY- Metro Card Recharges with your Visa and get 10+ACU- cashback upto Rs 50. Coupon can be use two time per user+ACI-,VISA50, Freecharge ,10+ACU- Cashback with VISA Debit / Credit Cards,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
10,New users get 10+ACU- cashback on 50 Recharge / Bill payments.Using Debit / Credit card only. valid once per user. Max Rs.100 cashback,FC10, Freecharge ,10+ACU- Cashback on Recharge of Rs.50 (New user),New User,Light Bill,Recharge,Airtel and Others,Offer,Offer,
10,Mobile Prepaid Recharge offer : Get Rs 10 Cashback on Minimum recharge of 150. Once / User,RECH10, Paytm ,Mobile Prepaid Offer: Get 10 Cashback on recharge of 150,All Users,Recharge,Airtel and Others,Offer,,,
10,+ACI-Get 10+ACU- cashback on any transaction. Max Rs.100 cashback. Applicable on Prepaid Recharge, Postpaid Bill, DTH, Landline and Data Card. 5times/user.+ACI-,PAYTMKARO, Paytm ,+ACI-10+ACU- Cashback on any Recharge, Bill, DTH, Datacard+ACI-,All Users,Light Bill,Recharge,Airtel and Others,Offer,Offer,
10,Get Rs.10 Idea Prepaid Recharge at Re.1 from Paytm. Click Activate,ACTIVATE OFFER, Paytm ,Rs.10 Recharge at Re.1,All Users,Recharge,Airtel and Others,Offer,,,
